 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,Circ.,Skew,AR,Round,Solidity
2557,g77_skel.tif,979.112,255,0,255,255,255,612.653,1070.056,612.653,1070.056,146.411,0.574,NaN,2.676,0.374,0.919
2558,g77_skel.tif,928.101,255,0,255,255,255,653.929,1068.845,653.929,1068.845,137.779,0.614,NaN,2.068,0.483,0.904
2559,g77_skel.tif,483.105,255,0,255,255,255,1464.858,1060.823,1464.858,1060.823,88.786,0.770,NaN,1.289,0.776,0.948
2560,g77_skel.tif,1032.224,255,0,255,255,255,1488.535,1068.879,1488.535,1068.879,159.026,0.513,NaN,1.639,0.610,0.821
2561,g77_skel.tif,889.693,255,0,255,255,255,589.343,1073.276,589.343,1073.276,133.562,0.627,NaN,2.051,0.488,0.925
2562,g77_skel.tif,370.580,255,0,255,255,255,1827.481,1063.824,1827.481,1063.824,89.960,0.575,NaN,1.588,0.630,0.792
2563,g77_skel.tif,2824.812,255,0,255,255,255,1157.892,1088.190,1157.892,1088.190,229.022,0.677,NaN,2.016,0.496,0.919
2564,g77_skel.tif,261.357,255,0,255,255,255,1807.867,1058.726,1807.867,1058.726,62.814,0.832,NaN,1.443,0.693,0.952
2565,g77_skel.tif,934.403,255,0,255,255,255,838.301,1067.876,838.301,1067.876,122.849,0.778,NaN,1.140,0.877,0.945
2566,g77_skel.tif,937.403,255,0,255,255,255,711.429,1074.134,711.429,1074.134,130.587,0.691,NaN,2.058,0.486,0.912
2567,g77_skel.tif,1173.554,255,0,255,255,255,1408.935,1075.068,1408.935,1075.068,136.661,0.790,NaN,1.433,0.698,0.952
2568,g77_skel.tif,442.296,255,0,255,255,255,1563.876,1065.629,1563.876,1065.629,83.597,0.795,NaN,1.202,0.832,0.920
2569,g77_skel.tif,3030.357,255,0,255,255,255,1263.922,1088.125,1263.922,1088.125,249.627,0.611,NaN,1.268,0.789,0.933
2570,g77_skel.tif,348.676,255,0,255,255,255,1846.160,1067.154,1846.160,1067.154,75.209,0.775,NaN,1.205,0.830,0.912
2571,g77_skel.tif,796.673,255,0,255,255,255,521.792,1068.230,521.792,1068.230,109.813,0.830,NaN,1.205,0.830,0.953
2572,g77_skel.tif,461.800,255,0,255,255,255,474.094,1068.868,474.094,1068.868,87.127,0.764,NaN,1.441,0.694,0.916
2573,g77_skel.tif,261.057,255,0,255,255,255,456.471,1064.211,456.471,1064.211,64.441,0.790,NaN,1.232,0.812,0.922
2574,g77_skel.tif,499.008,255,0,255,255,255,1869.691,1067.740,1869.691,1067.740,88.433,0.802,NaN,1.315,0.761,0.935
